L1	L2	D'	LOD	r^2	CIlow	CIhi	Dist	T-int
rs13330623	rs1634675	1.0	0.59	0.0080	0.09	0.99	19388	-
rs13330623	rs9935689	1.0	0.0	0.0	0.0	0.0	20000	-
rs13330623	rs9936083	1.0	0.0	0.0	0.0	0.0	20254	-
rs6497415	rs6497416	1.0	22.35	0.747	0.88	1.0	53	89.85
rs6497415	rs227760	1.0	1.01	0.047	0.16	0.99	1081	-
rs6497415	rs6497417	1.0	6.43	0.182	0.75	1.0	3168	-
rs6497415	rs183452	0.555	4.22	0.136	0.34	0.72	5908	-
rs6497415	rs7404256	0.352	0.62	0.023	0.06	0.63	11761	-
rs6497415	rs4782296	1.0	5.26	0.125	0.7	1.0	12014	-
rs6497415	rs1690402	0.892	9.93	0.278	0.7	0.97	14131	-
rs6497415	rs1634673	0.892	9.93	0.278	0.7	0.97	16214	-
rs6497415	rs1634675	1.0	1.2	0.045	0.2	0.99	17529	-
rs6497415	rs9935689	1.0	0.0	0.0	0.0	0.0	18141	-
rs6497415	rs9936083	1.0	0.0	0.0	0.0	0.0	18395	-
rs6497416	rs227760	1.0	0.74	0.033	0.12	0.99	1028	74.51
rs6497416	rs6497417	1.0	4.62	0.132	0.66	1.0	3115	-
rs6497416	rs183452	0.935	9.7	0.277	0.73	0.99	5855	-
rs6497416	rs7404256	1.0	4.58	0.138	0.66	1.0	11708	-
rs6497416	rs4782296	1.0	3.87	0.091	0.61	1.0	11961	-
rs6497416	rs1690402	0.927	7.79	0.215	0.7	0.98	14078	-
rs6497416	rs1634673	0.927	7.79	0.215	0.7	0.98	16161	-
rs6497416	rs1634675	1.0	0.97	0.032	0.15	0.99	17476	-
rs6497416	rs9935689	1.0	0.0	0.0	0.0	0.0	18088	-
rs6497416	rs9936083	1.0	0.0	0.0	0.0	0.0	18342	-
rs227760	rs6497417	1.0	7.34	0.182	0.77	1.0	2087	99.1
rs227760	rs183452	1.0	4.62	0.105	0.67	1.0	4827	-
rs227760	rs7404256	1.0	7.38	0.19	0.77	1.0	10680	-
rs227760	rs4782296	1.0	5.0	0.121	0.69	1.0	10933	-
rs227760	rs1690402	0.894	3.97	0.106	0.56	0.97	13050	-
rs227760	rs1634673	0.894	3.97	0.106	0.56	0.97	15133	-
rs227760	rs1634675	1.0	32.13	0.963	0.92	1.0	16448	-
rs227760	rs9935689	1.0	0.0	0.0	0.0	0.0	17060	-
rs227760	rs9936083	1.0	0.0	0.0	0.0	0.0	17314	-
rs6497417	rs183452	1.0	16.85	0.411	0.88	1.0	2740	209.06
rs6497417	rs7404256	0.887	28.74	0.753	0.8	0.94	8593	-
rs6497417	rs4782296	1.0	28.61	0.682	0.92	1.0	8846	-
rs6497417	rs1690402	0.966	18.33	0.484	0.85	1.0	10963	-
rs6497417	rs1634673	0.966	18.33	0.484	0.85	1.0	13046	-
rs6497417	rs1634675	1.0	6.99	0.175	0.76	1.0	14361	-
rs6497417	rs9935689	1.0	0.0	0.0	0.0	0.0	14973	-
rs6497417	rs9936083	1.0	0.0	0.0	0.0	0.0	15227	-
rs183452	rs7404256	1.0	17.36	0.429	0.89	1.0	5853	306.35
rs183452	rs4782296	1.0	11.98	0.284	0.85	1.0	6106	-
rs183452	rs1690402	1.0	33.46	0.79	0.93	1.0	8223	-
rs183452	rs1634673	1.0	33.46	0.79	0.93	1.0	10306	-
rs183452	rs1634675	1.0	4.7	0.101	0.67	1.0	11621	-
rs183452	rs9935689	1.0	0.0	0.0	0.0	0.0	12233	-
rs183452	rs9936083	1.0	0.0	0.0	0.0	0.0	12487	-
rs7404256	rs4782296	1.0	26.36	0.653	0.92	1.0	253	275.11
rs7404256	rs1690402	0.76	10.19	0.313	0.59	0.87	2370	-
rs7404256	rs1634673	0.76	10.19	0.313	0.59	0.87	4453	-
rs7404256	rs1634675	1.0	7.02	0.183	0.76	1.0	5768	-
rs7404256	rs9935689	1.0	0.0	0.0	0.0	0.0	6380	-
rs7404256	rs9936083	1.0	0.0	0.0	0.0	0.0	6634	-
rs4782296	rs1690402	1.0	14.72	0.36	0.87	1.0	2117	216.93
rs4782296	rs1634673	1.0	14.72	0.36	0.87	1.0	4200	-
rs4782296	rs1634675	1.0	4.75	0.116	0.67	1.0	5515	-
rs4782296	rs9935689	1.0	0.0	0.0	0.0	0.0	6127	-
rs4782296	rs9936083	1.0	0.0	0.0	0.0	0.0	6381	-
rs1690402	rs1634673	1.0	47.69	1.0	0.96	1.0	2083	153.3
rs1690402	rs1634675	1.0	5.45	0.128	0.71	1.0	3398	-
rs1690402	rs9935689	1.0	0.0	0.0	0.0	0.0	4010	-
rs1690402	rs9936083	1.0	0.0	0.0	0.0	0.0	4264	-
rs1634673	rs1634675	1.0	5.45	0.128	0.71	1.0	1315	27.37
rs1634673	rs9935689	1.0	0.0	0.0	0.0	0.0	1927	-
rs1634673	rs9936083	1.0	0.0	0.0	0.0	0.0	2181	-
rs1634675	rs9935689	1.0	0.0	0.0	0.0	0.0	612	0.0
rs1634675	rs9936083	1.0	0.0	0.0	0.0	0.0	866	-
rs9935689	rs9936083	1.0	0.0	0.0	0.0	0.0	254	0.0
